paper_id,title,authors,venue,year,pdf_url,proceedings_url,source_retrieved_date,selection_status,award_status,screening_level,pdf_text_retrieved,caption_candidates_extracted,analyst_caption_reviewed,visual_reviewed,pdf_title_token_check,caption_candidate_count,figure_candidates,caption_window_excerpt,excerpt_note,candidate_window_keyword_tags,retrieval_limitation,selection_note
p0011,XAI for Transformers: Better Explanations through Conservative Propagation,"Ameen Ali, Thomas Schnake, Oliver Eberle, Grégoire Montavon, Klaus-Robert Müller, Lior Wolf",ICML,2022,https://proceedings.mlr.press/v162/ali22a/ali22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 4}, {""figure"": 2, ""pdf_page"": 4}]","Diagram of specific modules found in Transformer architectures: (a) attention head, (b) LayerNorm. Modules are depicted with the types of nonlinearities they",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""quantitative_comparison""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0012,Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval,"Uri Alon, Frank Xu, Junxian He, Sudipta Sengupta, Dan Roth, Graham Neubig",ICML,2022,https://proceedings.mlr.press/v162/alon22a/alon22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 2}, {""figure"": 2, ""pdf_page"": 3}]","An illustration of RETOMATON. Given a context 1 (“The U.S.”), a k-nearest neighbor search 2 returns the nearest datastore entries. Every datastore",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0013,Minimax Classification under Concept Drift with Multidimensional Adaptation and Performance Guarantees,"Verónica Álvarez, Santiago Mazuelas, Jose A Lozano",ICML,2022,https://proceedings.mlr.press/v162/alvarez22a/alvarez22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 1}, {""figure"": 2, ""pdf_page"": 3}]","From time t1 to time t2, the statistical characteristic corresponding with class 1 (τ1 and τ2) significantly change, while those corresponding with",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0014,Scalable First-Order Bayesian Optimization via Structured Automatic Differentiation,"Sebastian E Ament, Carla P Gomes",ICML,2022,https://proceedings.mlr.press/v162/ament22a/ament22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,4,"[{""figure"": 1, ""pdf_page"": 5}, {""figure"": 2, ""pdf_page"": 6}, {""figure"": 3, ""pdf_page"": 7}, {""figure"": 4, ""pdf_page"": 7}]",Computational graphs of composite kernels whose gradient kernel matrix can be expressed with the data-sparse structured expressions derived in Section 3.2. Inside,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""quantitative_comparison"", ""efficiency_or_tradeoff""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0015,Public Data-Assisted Mirror Descent for Private Model Training,"Ehsan Amid, Arun Ganesh, Rajiv Mathews, Swaroop Ramaswamy, Shuang Song, Thomas Steinke, Thomas Steinke, Vinith M Suriyakumar, Om Thakkar, Abhradeep Thakurta",ICML,2022,https://proceedings.mlr.press/v162/amid22a/amid22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 7}, {""figure"": 2, ""pdf_page"": 8}, {""figure"": 3, ""pdf_page"": 9}]",The empirical loss on synthetic linear regression data. The mean and error bars for a 95% confidence interval over 20 runs are,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""quantitative_comparison"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0016,"Learning to Hash Robustly, Guaranteed","Alexandr Andoni, Daniel Beaglehole",ICML,2022,https://proceedings.mlr.press/v162/andoni22a/andoni22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 8}, {""figure"": 2, ""pdf_page"": 9}]","Scaled and centered distributions produced by Algorithm 3 for the MNIST dataset (optimized for the entire dataset)Learning to Hash Robustly, Guaranteed",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0017,Image-to-Image Regression with Distribution-Free Uncertainty Quantification and Applications in Imaging,"Anastasios N Angelopoulos, Amit Pal Kohli, Stephen Bates, Michael Jordan, Jitendra Malik, Thayer Alshaabi, Srigokul Upadhyayula, Yaniv Romano",ICML,2022,https://proceedings.mlr.press/v162/angelopoulos22a/angelopoulos22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 2}, {""figure"": 2, ""pdf_page"": 3}]",An algorithmic MRI reconstruction with uncertainty. A rapidly acquired but undersampled MR image of a knee (A) is fed into a model,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem"", ""qualitative_outputs"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0018,Adapting the Linearised Laplace Model Evidence for Modern Deep Learning,"Javier Antoran, David Janz, James U Allingham, Erik Daxberger, Riccardo Rb Barbano, Eric Nalisnick, Jose Miguel Hernandez-Lobato",ICML,2022,https://proceedings.mlr.press/v162/antoran22a/antoran22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 3}, {""figure"": 2, ""pdf_page"": 4}]",Linearised Laplace predictive mean and std-dev for a 2.6k parameter MLP trained on toy data from Antoran et al. (2020). Choosing Λ,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0019,EAT-C: Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning,"Shuang Ao, Tianyi Zhou, Jing Jiang, Guodong Long, Xuan Song, Chengqi Zhang",ICML,2022,https://proceedings.mlr.press/v162/ao22a/ao22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 1}]","Main structure of EAT-C: The path-planner recursively generates a sub-task tree for a task (g0, g), while the environment generator (EG) adversarially",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""efficiency_or_tradeoff""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0020,VariGrow: Variational Architecture Growing for Task-Agnostic Continual Learning based on Bayesian Novelty,"Randy Ardywibowo, Zepeng Huo, Zhangyang Wang, Bobak J Mortazavi, Shuai Huang, Xiaoning Qian",ICML,2022,https://proceedings.mlr.press/v162/ardywibowo22a/ardywibowo22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 3}]",VariGrow schematic: (a): The dynamically growing construct illustrated for two expert components. The input x is passed into a Bayesian Neural Network,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""worked_example_or_problem"", ""ablation_or_mechanism""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0021,Understanding Gradient Descent on the Edge of Stability in Deep Learning,"Sanjeev Arora, Zhiyuan Li, Abhishek Panigrahi",ICML,2022,https://proceedings.mlr.press/v162/arora22a/arora22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 2}, {""figure"": 2, ""pdf_page"": 4}]","GD operating on EoS oscillates around the zero loss manifold Γ = {(x, y) | y = 0} while slowly moving towards",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""qualitative_outputs""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0022,Do More Negative Samples Necessarily Hurt In Contrastive Learning?,"Pranjal Awasthi, Nishanth Dikkala, Pritish Kamath",ICML,2022,https://proceedings.mlr.press/v162/awasthi22b/awasthi22b.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 7}, {""figure"": 2, ""pdf_page"": 7}, {""figure"": 3, ""pdf_page"": 8}]",The figure shows how the supervised loss of the NCE optimal representation varies with k for different multiclass settings corresponding to C,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem"", ""quantitative_comparison"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0023,Iterative Hard Thresholding with Adaptive Regularization: Sparser Solutions Without Sacrificing Runtime,"Kyriakos Axiotis, Maxim Sviridenko",ICML,2022,https://proceedings.mlr.press/v162/axiotis22a/axiotis22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 9}]",(a)-(b): IHT vs Regularized IHT performance on the year and rcv1 datasets with fixed sparsity levels s = 11 and s =,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""quantitative_comparison""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0024,Proving Theorems using Incremental Learning and Hindsight Experience Replay,"Eser Aygün, Ankit Anand, Laurent Orseau, Xavier Glorot, Stephen M Mcaleer, Vlad Firoiu, Lei M Zhang, Doina Precup, Shibl Mourad",ICML,2022,https://proceedings.mlr.press/v162/aygun22a/aygun22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 6}, {""figure"": 2, ""pdf_page"": 8}, {""figure"": 3, ""pdf_page"": 8}]","Clause graph of a goal clause. Each node has five features: clause type, node type, literal polarity, symbol hash and argument slot",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""quantitative_comparison"", ""ablation_or_mechanism""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0025,Near-optimal rate of consistency for linear models with missing values,"Alexis Ayme, Claire Boyer, Aymeric Dieuleveut, Erwan Scornet",ICML,2022,https://proceedings.mlr.press/v162/ayme22a/ayme22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 3}, {""figure"": 2, ""pdf_page"": 3}]",Links between the different assumptions to get the linearity of the Bayes predictor as in Proposition 2.3. Scenarios that may contain MNAR,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0026,How Tempering Fixes Data Augmentation in Bayesian Neural Networks,"Gregor Bachmann, Lorenzo Noci, Thomas Hofmann",ICML,2022,https://proceedings.mlr.press/v162/bachmann22a/bachmann22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 4}, {""figure"": 2, ""pdf_page"": 5}]","Illustration of augmentations, the original image x (left), and two random augmentation Rη1(x) (middle) and Rη2(x) (right). We apply a composition of",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0027,ASAP.SGD: Instance-based Adaptiveness to Staleness in Asynchronous SGD,"Karl Bäckström, Marina Papatriantafilou, Philippas Tsigas",ICML,2022,https://proceedings.mlr.press/v162/backstrom22a/backstrom22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 5}, {""figure"": 2, ""pdf_page"": 7}, {""figure"": 3, ""pdf_page"": 7}]","The scaling factor CA(τ ) of TAIL-τ , relative a staleness distribution, with properties from Lemma 4.7. Fresh updates (low staleness) are",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""efficiency_or_tradeoff"", ""ablation_or_mechanism"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0028,From Noisy Prediction to True Label: Noisy Prediction Calibration via Generative Model,"Heesun Bae, Seungjae Shin, Byeonghu Na, Joonho Jang, Kyungwoo Song, Il-Chul Moon",ICML,2022,https://proceedings.mlr.press/v162/bae22a/bae22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 3}, {""figure"": 2, ""pdf_page"": 4}]","Overview. Existing methods shift the function ψ to estimate the mapping from x to y during the learning procedure. On the contrary,",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""worked_example_or_problem"", ""quantitative_comparison"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0029,"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language","Alexei Baevski, Wei-Ning Hsu, Qiantong Xu, Arun Babu, Jiatao Gu, Michael Auli",ICML,2022,https://proceedings.mlr.press/v162/baevski22a/baevski22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 2}]",Illustration of how data2vec follows the same learning process for different modalities. The model first produces representations of the original input example,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0030,End-to-End Balancing for Causal Continuous Treatment-Effect Estimation,"Taha Bahadori, Eric Tchetgen Tchetgen, David Heckerman",ICML,2022,https://proceedings.mlr.press/v162/bahadori22a/bahadori22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 7}, {""figure"": 2, ""pdf_page"": 8}]",The estimated log-base-weight function ℓθ as a function of logarithms of the empirical density of the treatment log(pb(a)) and conditional distribution log(pb(a|x)).,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""quantitative_comparison"", ""ablation_or_mechanism"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0031,A Hierarchical Transitive-Aligned Graph Kernel for Un-attributed Graphs,"Lu Bai, Lixin Cui, Hancock Edwin",ICML,2022,https://proceedings.mlr.press/v162/bai22a/bai22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 1}, {""figure"": 2, ""pdf_page"": 3}, {""figure"": 3, ""pdf_page"": 4}]","Graphs abstracted from digital images of different angles. specific isomorphic substructures (Haussler, 1999). Specifically, these graph kernels are the so-called R-convolution kernels,",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0032,Near-Optimal Learning of Extensive-Form Games with Imperfect Information,"Yu Bai, Chi Jin, Song Mei, Tiancheng Yu",ICML,2022,https://proceedings.mlr.press/v162/bai22b/bai22b.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,pdf_text_retrieved,True,False,False,False,passed_70_percent_threshold,0,[],,,[],"Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0033,Gaussian Mixture Variational Autoencoder with Contrastive Learning for Multi-Label Classification,"Junwen Bai, Shufeng Kong, Carla P Gomes",ICML,2022,https://proceedings.mlr.press/v162/bai22c/bai22c.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 3}]",The full pipeline of C-GMVAE. Every label category is mapped to a learnable embedding first. The label encoder transforms each embedding w,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0034,Certified Neural Network Watermarks with Randomized Smoothing,"Arpit Bansal, Ping-Yeh Chiang, Michael J Curry, Rajiv Jain, Curtis Wigington, Varun Manjunatha, John P Dickerson, Tom Goldstein",ICML,2022,https://proceedings.mlr.press/v162/bansal22a/bansal22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 5}]","Graphical illustration of perfect, sufficient, and necessary threat models. 4.2. Properties of a Good Threat Model Before we present our experimental results",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem"", ""quantitative_comparison""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
